fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2019-2020,May,12,HARYANA,1217,PANCHKULA,35020,324.7593102,14,0,0,36,104,196,6901,1172,2470,0,0,0,22.41164,486,542,5961,10263,0,13942,21280,232,22.41164,806,34,43.75,49.35,100.44,NA
2021-2022,Jan,12,HARYANA,1203,KURUKSHETRA,373614,288.1268158,25,19,258.1999944,891,45,777,373114,126699,19829,0,0,36.04093,1369.282412,14500,21063,25487,55039,100,59514,115198,1668,1075.041488,218682,31,69.67,81.28,100.76,NA
2021-2022,Jan,12,HARYANA,1219,MEWAT,2036315,306.2702746,38,9,9214.892296,2121,26,2020,2035687,13119,1953,0,0,50.82939,15500.42585,52220,55799,88235,104153,640,148732,189126,4141,6234.704165,824147,20,39.28,35.96,98.29,NA
2024-2025,June,12,HARYANA,1201,AMBALA,42925,391.0181494,12,1,0,133,306,474,13682,7976,9735,0,0,21.58411,75.0832132,1124,1260,9939,16152,0,37359,52232,607,53.4991032,9051,36,57.52,25.39,99.64,NA
2024-2025,June,12,HARYANA,1203,KURUKSHETRA,204990,303.7812279,13,2,0.26747,120,279,1196,39432,14858,19258,0,0,31.69079,151.7452738,2969,3679,22943,50897,0,63330,121245,1316,119.7870138,25983,18,39.89,23.13,99.41,NA
2024-2025,June,12,HARYANA,1204,KAITHAL,162150,1130.018174,9,10,0,176,133,1710,25949,13539,36452,0,0,25.98727,319.2156861,2721,3455,36209,75385,0,67859,125780,1886,293.2284161,17529,48,63.2,15.52,99.55,NA
2024-2025,June,12,HARYANA,1220,JHAJJAR,120775,427.5907463,16,0,0,90,161,431,13962,5614,14381,0,0,21.09527,80.79549,848,989,15587,28037,0,63553,106649,521,59.70022,7722,22,48.93,42.56,98.73,NA
2024-2025,June,12,HARYANA,1209,FARIDABAD,24700,343.7268986,20,0,0,3,87,71,2673,427,834,0,0,7.24834,16.43616,131,174,2648,3090,0,7656,8338,74,9.18782,1138,2,43.51,30.3,153.78,NA
2024-2025,June,12,HARYANA,1218,FATEHABAD,261940,515.5034299,11,22,449.9952674,423,34,5361,218857,132593,82841,0,0,68.78146,1646.992069,19040,26783,60924,132555,0,74822,154701,5784,1128.215342,139091,11,56.22,16.34,101.33,NA
2024-2025,June,12,HARYANA,1219,MEWAT,134780,487.2134728,20,1,0,14,223,2109,104388,403,792,0,0,54.53808,563.13048,5086,5982,54349,63312,0,149792,191991,2123,508.5924,46514,15,18.35,6.2,99.03,NA
