fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Oct,12,HARYANA,1211,REWARI,78130,407.7458036,21,0,151.4804343,200,227,323,46130,28872,8914,0,0,37.73761,377.3111835,2100,2517,7704,14292,0,40353,77473,523,188.0931392,34808,6,73.46,9.63,107.71,NA
2024-2025,Oct,12,HARYANA,1222,CHARKI DADRI,73550,395.7072948,21,11,57.2858676,176,60,433,57663,27056,7307,0,0,14.44681,299.909375,2654,3277,9448,16921,0,30815,53531,609,228.1766974,34812,1,97.29,0.24,103.83,NA
2024-2025,Nov,12,HARYANA,1212,MAHENDRAGARH,255640,448.3090697,23,0,357.1832077,698,117,843,91511,21316,8567,0,0,56.35015,823.7854705,3823,4647,17286,27811,1,65520,92092,1541,410.2521128,44328,11,37.38,22.25,108.61,NA
2024-2025,Nov,12,HARYANA,1213,BHIWANI,444150,393.157609,23,22,406.581009,937,48,1498,402269,211151,42528,0,0,54.67657,2042.808761,17471,22861,37386,79312,1,86769,169255,2435,1581.551182,254728,2,66.14,12.03,112.24,NA
2024-2025,Nov,12,HARYANA,1215,HISAR,1371610,414.1602012,25,42,3134.357007,2753,5,2734,1281928,707173,86355,0,0,110.34938,8553.941971,50025,69461,71894,153520,39,121617,241129,5487,5309.235584,832380,6,52.28,13.81,100.51,NA
2024-2025,Nov,12,HARYANA,1217,PANCHKULA,93200,383.4897394,26,0,160.6079544,196,32,190,56722,15833,2999,0,0,36.7394,414.8704044,2153,2416,6409,10993,0,17263,25786,386,217.52305,18846,34,54.74,12.53,100,NA
2024-2025,July,12,HARYANA,1215,HISAR,609795,441.6371291,17,76,2690.371819,1187,20,3546,708643,403986,84951,0,0,68.23607,5888.238489,39932,53811,70176,150325,1,120590,239342,4733,3129.630601,463115,6,48.83,15.53,100.09,NA
2024-2025,Aug,12,HARYANA,1201,AMBALA,66470,367.2528242,14,1,2.6381695,176,256,472,26500,16201,9868,0,0,22.5165,122.4766679,1777,2012,10085,16345,0,37451,52356,648,97.3219984,16623,34,50.12,36.82,99.94,NA
2024-2025,Aug,12,HARYANA,1206,PANIPAT,293125,351.8417356,23,2,355.236425,335,34,517,154881,78777,16760,0,0,29.52667,929.6990935,6479,8347,18299,34649,0,42462,71785,852,544.9359985,100842,14,58.86,14.4,101.21,NA
2024-2025,Aug,12,HARYANA,1212,MAHENDRAGARH,161500,491.8953373,21,0,310.5241749,455,170,926,54627,12568,8370,0,0,22.59282,601.8246608,2543,3068,16861,27208,0,65344,91891,1381,268.7076659,27516,12,42.78,23.28,111.67,NA
2024-2025,Aug,12,HARYANA,1219,MEWAT,233490,455.0812791,23,1,2557.204141,193,184,2215,168112,540,803,0,0,60.77615,3383.026531,7143,8502,55055,64402,13,150998,193760,2408,765.04624,75121,14,19.91,6.81,99.4,NA
2024-2025,Aug,12,HARYANA,1222,CHARKI DADRI,53450,403.8172283,17,11,55.8410924,67,69,526,40480,19017,7244,0,0,13.08379,232.3900964,2341,2873,9366,16775,0,30750,53441,593,163.465214,24822,1,96.13,0.35,102.93,NA
2024-2025,July,12,HARYANA,1202,YAMUNANAGAR,122765,432.2245627,25,0,92.165151,86,368,308,51305,13730,9420,0,0,20.45555,334.3735129,1985,2556,13412,24164,0,47573,76071,394,221.7528119,18757,26,61.92,16.02,100.44,NA
2024-2025,July,12,HARYANA,1205,KARNAL,480620,313.5313716,14,11,60.88337528,188,190,1475,164609,83705,51789,0,0,33.49902,610.4832507,11299,14360,44665,92401,0,91712,166970,1663,516.1008554,113438,20,78.64,8.64,103.34,NA
2024-2025,July,12,HARYANA,1206,PANIPAT,228675,326.2390219,19,2,355.236425,331,41,492,109395,56330,16633,0,0,29.52667,741.652273,5488,6959,18164,34384,0,42435,71726,823,356.889178,71481,14,53.09,14.62,99.61,NA
2024-2025,July,12,HARYANA,1213,BHIWANI,226850,429.7314077,16,13,255.4999739,417,71,1748,179864,96754,41803,0,0,27.98627,1056.418343,11200,14244,36382,77307,0,86167,168179,2165,772.9320991,116342,2,62.75,14.83,106.63,NA
2024-2025,July,12,HARYANA,1219,MEWAT,186710,455.453757,23,1,2557.204141,164,192,2110,136983,469,798,0,0,60.77615,3241.874511,5896,6967,54529,63644,13,150517,193054,2274,623.89422,60637,14,19.2,6.88,99.26,NA
2024-2025,July,12,HARYANA,1206,PANIPAT,228675,334.4449806,19,2,355.236425,329,43,491,100421,51536,16585,0,0,29.52667,720.616089,5160,6527,18133,34354,0,42445,71787,820,335.852994,65635,15,51.66,14.39,99.73,NA
2024-2025,July,12,HARYANA,1212,MAHENDRAGARH,120550,544.119836,19,0,310.5241749,273,189,1073,37386,8327,8276,0,0,22.59282,536.5416368,1887,2277,16646,26867,0,65307,91821,1346,203.4246419,18501,11,37.86,23.84,105.59,NA
2024-2025,July,12,HARYANA,1215,HISAR,609795,455.7547459,15,70,2690.371819,551,23,4039,573446,329045,84527,0,0,68.23607,5372.115249,36170,48495,69702,149467,1,120297,238845,4590,2613.50736,376620,6,47.75,15.2,99.9,NA
2024-2025,July,12,HARYANA,1216,SIRSA,421250,624.4165131,7,32,727.9068851,570,83,3338,121536,72402,84112,0,0,33.30112,1520.098858,15523,20600,57046,132446,0,123297,263984,3908,758.8908534,75046,23,84.95,4.9,135.52,NA
2024-2025,Nov,12,HARYANA,1203,KURUKSHETRA,376060,380.0987537,30,9,382.8711244,438,74,1174,308631,106788,20058,0,0,67.21137,1623.185079,10285,13968,24071,53276,33,64114,122675,1612,1173.102585,208303,15,67.42,12.19,102.34,NA
2024-2025,Nov,12,HARYANA,1219,MEWAT,343695,406.8389386,31,1,2787.339579,497,140,2492,327469,1873,840,0,0,98.20613,4217.817113,10366,12375,56686,66591,12,152662,195846,2989,1332.271404,146057,13,12.45,5,101.36,NA
2024-2025,Nov,12,HARYANA,1222,CHARKI DADRI,91900,395.4131003,22,11,57.2858676,179,60,433,60336,28541,7311,0,0,23.87038,319.7326958,2685,3313,9452,16930,0,30843,53564,612,238.5764482,36553,1,97.41,0.23,103.78,NA
2024-2025,Nov,12,HARYANA,1207,SONIPAT,335938,412.0775159,29,6,227.6419057,280,102,477,201280,100031,12672,0,0,58.87429,1115.94582,6811,8839,15281,24916,9,44976,65896,757,829.4296241,122876,12,73.84,12.74,100.77,NA
2024-2025,Nov,12,HARYANA,1220,JHAJJAR,275000,376.4339684,29,1,99.03267489,321,69,426,145135,70163,14774,0,0,53.36145,698.7315649,4842,5780,16203,28826,3,63969,107066,747,546.33744,85396,15,75.13,23.53,99.95,NA
2024-2025,July,12,HARYANA,1212,MAHENDRAGARH,120550,601.2991643,19,0,310.5241749,241,192,1099,30168,6567,8256,0,0,22.59282,514.5169268,1577,1890,16620,26812,0,65271,91742,1340,181.3999319,14714,11,39.99,21.94,102.35,NA
2024-2025,July,12,HARYANA,1213,BHIWANI,226850,468.8869245,14,8,255.4999739,382,72,1734,136050,71385,41656,0,0,27.98627,921.4069047,9146,11458,36201,76946,0,86061,167955,2116,637.9206608,87836,2,62.24,18.15,107.1,NA
2024-2025,July,12,HARYANA,1216,SIRSA,421250,778.3998304,7,23,727.8737651,493,93,3338,83034,51147,83898,0,0,33.30112,1407.5114,10866,14382,56914,132091,0,123086,263520,3831,646.3365152,50594,24,86,3.87,144.36,NA
2024-2025,July,12,HARYANA,1222,CHARKI DADRI,49200,391.461374,15,6,55.8410924,36,81,539,29360,14189,7181,0,0,13.08379,183.8579418,1908,2329,9273,16610,0,30693,53337,575,114.9330594,17437,1,94.67,0.48,99.85,NA
2024-2025,July,12,HARYANA,1204,KAITHAL,302500,413.0671153,12,41,31.5401311,182,81,1949,146946,69826,36862,0,0,26.21377,664.7395044,12032,15339,36674,76219,0,68034,126109,2131,606.9856033,103324,43,91.18,4.17,100.7,NA
2024-2025,July,12,HARYANA,1212,MAHENDRAGARH,120550,563.7675468,19,0,310.5241749,242,189,1100,35060,8109,8274,0,0,22.59282,530.7738968,1818,2185,16642,26855,0,65294,91789,1342,197.6569019,17577,11,40.08,24.19,105.89,NA
2024-2025,July,12,HARYANA,1203,KURUKSHETRA,275560,367.8874064,19,7,126.1741399,138,178,1262,125958,45522,19576,0,0,32.15929,621.7170493,6505,8493,23353,51745,0,63533,121654,1400,463.3836194,85926,17,65.23,11.85,100.44,NA
2024-2025,July,12,HARYANA,1204,KAITHAL,302500,455.0043265,11,27,31.5401311,182,99,1926,110645,54426,36687,0,0,26.21377,561.1934382,9381,12004,36449,75873,0,68009,126080,2108,503.4395371,77870,43,88.38,5.53,100.48,NA
2024-2025,July,12,HARYANA,1217,PANCHKULA,47550,386.6120816,21,0,42.3302641,87,52,242,32744,9366,2938,0,0,16.50039,185.4229141,1541,1715,6298,10804,0,17158,25637,329,126.59226,10422,30,49.96,14.62,99.96,NA
2024-2025,July,12,HARYANA,1211,REWARI,57080,460.3266411,17,0,0.62806,5,306,528,19581,13603,8596,0,0,17.27762,108.0422396,1133,1322,7411,13741,0,40150,77190,533,90.1365596,15134,6,87.65,9.03,103.68,NA
2024-2025,July,12,HARYANA,1217,PANCHKULA,47550,380.2879194,21,0,42.3302641,87,52,246,33558,9462,2943,0,0,16.50039,186.4476741,1555,1731,6303,10815,0,17159,25641,333,127.61702,10498,31,51.37,14.19,99.94,NA
2024-2025,July,12,HARYANA,1219,MEWAT,186710,485.2173306,21,1,2557.204141,40,196,2109,120296,464,799,0,0,60.77615,3201.677331,5647,6648,54486,63535,0,150317,192732,2149,583.69704,53458,15,18.83,7.29,99.17,NA
2024-2025,July,12,HARYANA,1204,KAITHAL,302500,460.6921179,11,23,31.5401311,182,99,1918,102307,50702,36646,0,0,26.21377,529.0741862,8734,11241,36403,75788,0,67992,126045,2100,471.3202851,71899,44,87.44,6,100.54,NA
2024-2025,July,12,HARYANA,1205,KARNAL,480620,405.0107953,13,4,60.88337528,173,215,1461,67348,34184,51449,0,0,33.49902,367.1490657,4982,6149,44318,91714,0,91600,166718,1634,272.7666704,48192,20,60.25,14.71,102.51,NA
2024-2025,July,12,HARYANA,1211,REWARI,57080,472.2850024,16,0,0.62806,4,308,527,18519,13015,8589,0,0,17.27762,105.3681396,1090,1267,7405,13729,0,40148,77183,531,87.4624596,14397,6,86.95,9.55,101.05,NA
2024-2025,July,12,HARYANA,1217,PANCHKULA,47550,389.2447785,21,0,42.3302641,87,53,242,32462,9361,2938,0,0,16.50039,185.1872941,1498,1665,6298,10804,0,17158,25637,329,126.35664,10216,30,50.35,14.73,99.9,NA
2024-2025,July,12,HARYANA,1219,MEWAT,186710,483.3809843,21,1,2557.204141,40,197,2101,120753,432,793,0,0,60.77615,3201.677331,5646,6649,54469,63505,0,150226,192570,2141,583.69704,53620,15,18.98,7.28,99.17,NA
2024-2025,July,12,HARYANA,1208,ROHTAK,304900,539.86389,12,1,189.3466585,205,58,734,41082,22006,21783,0,0,22.67757,433.8111118,3169,3851,21962,40252,3,42121,70771,939,221.7868833,25171,12,72.29,15.61,118.74,NA
2024-2025,July,12,HARYANA,1209,FARIDABAD,35600,300.8363724,21,0,0,3,87,73,4168,821,846,0,0,7.24834,19.7872,195,253,2665,3110,0,7702,8399,76,12.53886,1707,2,46.59,32.84,148.3,NA
2024-2025,July,12,HARYANA,1215,HISAR,609795,461.8303781,15,68,2690.371819,463,25,4066,512235,290205,84330,0,0,68.23607,5124.264726,33408,44615,69495,149066,1,120192,238645,4529,2365.656837,335366,6,48.34,15.09,99.87,NA
2024-2025,July,12,HARYANA,1220,JHAJJAR,146150,385.3303402,17,0,3.7126536,100,133,489,51005,25947,14454,0,0,21.09527,221.3456636,2905,3395,15708,28219,0,63606,106732,589,196.53774,30829,20,80.61,16.72,99.51,NA
2024-2025,July,12,HARYANA,1221,PALWAL,38935,486.0194643,24,1,0,3,234,954,31848,1227,2080,0,0,3.71226,158.499739,1295,1591,10636,14770,1,39154,53518,957,154.787479,13100,30,38.33,4.46,144.79,NA
2024-2025,July,12,HARYANA,1204,KAITHAL,302500,427.3821278,12,48,31.5401311,182,70,1969,170612,80960,36980,0,0,26.21377,786.9190969,13190,16769,36812,76468,0,68068,126177,2151,729.1651958,120955,43,92.34,3.57,105.88,NA
2024-2025,July,12,HARYANA,1208,ROHTAK,304900,387.2759077,14,1,189.3466585,205,56,766,70403,35001,21854,0,0,22.67757,484.6780858,4842,5924,22061,40410,3,42166,70839,971,272.6538573,42897,12,80.74,11.38,123.97,NA
2024-2025,July,12,HARYANA,1212,MAHENDRAGARH,120550,534.5155748,20,0,310.5241749,317,189,1042,38889,8528,8277,0,0,22.59282,540.9847568,1890,2280,16652,26876,0,65308,91825,1359,207.8677619,19546,12,39.92,22.96,105.66,NA
2024-2025,July,12,HARYANA,1216,SIRSA,421250,615.914168,8,37,727.9068851,925,77,3001,129587,76929,84243,0,0,33.30112,1559.352698,16027,21293,57151,132678,0,123315,264032,3926,798.1446929,80605,23,84.81,5.08,133.11,NA
2024-2025,July,12,HARYANA,1219,MEWAT,186710,469.5556477,22,1,2557.204141,87,194,2126,132674,469,798,0,0,60.77615,3240.958551,5821,6875,54526,63634,0,150517,193054,2213,622.97826,58658,15,18.51,7.01,99.26,NA
2024-2025,July,12,HARYANA,1220,JHAJJAR,146150,382.7102918,18,0,3.7126536,118,128,476,59484,30516,14489,0,0,21.09527,252.4593136,3189,3745,15757,28303,0,63606,106736,594,227.65139,35750,19,83.38,14.33,99.63,NA
2024-2025,Aug,12,HARYANA,1202,YAMUNANAGAR,144140,427.3633575,28,0,92.165151,87,359,324,60134,15826,9435,0,0,20.45555,369.6113824,2129,2751,13438,24216,0,47647,76195,411,256.9906814,21349,25,56.21,17.23,100.42,NA
2024-2025,Aug,12,HARYANA,1208,ROHTAK,357150,413.9314806,20,1,189.3466585,312,42,713,137989,68817,22017,0,0,22.67757,783.2041393,6741,8437,22265,40772,4,42265,70981,1025,571.1799108,84181,11,82.77,8.65,141.59,NA
2024-2025,Aug,12,HARYANA,1215,HISAR,833465,431.3983818,20,80,2690.371819,1583,18,3402,894502,501210,85444,0,0,68.23607,6617.475042,44132,60069,70809,151454,2,121022,240063,4985,3858.867153,581611,6,50.46,15.32,100.5,NA
2024-2025,Aug,12,HARYANA,1216,SIRSA,536590,513.0481577,11,57,727.9068851,1575,50,2613,257231,153897,85186,0,0,33.30112,2080.926912,22810,31160,57869,134306,0,123909,265252,4188,1319.718907,158090,22,84.09,4.56,135.15,NA
2024-2025,Aug,12,HARYANA,1219,MEWAT,233490,422.4175121,26,1,2557.204141,224,164,2386,222155,1176,816,0,0,60.77615,3556.401915,8511,10180,55775,65359,16,151817,194804,2610,938.421624,99228,12,20.06,7.85,100.39,NA
2024-2025,Aug,12,HARYANA,1222,CHARKI DADRI,53450,403.3941735,18,11,55.8410924,94,66,499,46869,22424,7291,0,0,13.08379,257.9916976,2519,3106,9433,16878,0,30778,53480,593,189.0668152,28776,1,96.66,0.3,104.42,NA
2024-2025,Aug,12,HARYANA,1203,KURUKSHETRA,315910,379.177014,27,8,126.1741399,219,115,1290,261714,90642,19943,0,0,32.15929,1150.69276,9413,12733,23887,52889,8,63937,122354,1509,992.3593304,177738,16,72.42,9.51,101.56,NA
2024-2025,Aug,12,HARYANA,1207,SONIPAT,237713,419.3364314,24,6,180.0557308,146,128,528,145422,73135,12424,0,0,28.55001,818.4131661,5870,7550,14994,24434,1,44800,65621,674,609.8074253,89148,14,70.73,15.33,100.33,NA
2024-2025,Aug,12,HARYANA,1208,ROHTAK,357150,406.3513128,21,1,189.3466585,327,42,698,145906,71787,22029,0,0,22.67757,804.915175,6933,8683,22275,40789,4,42265,70981,1025,592.8909465,88263,11,83.46,8.29,140.32,NA
2024-2025,Aug,12,HARYANA,1220,JHAJJAR,180650,381.3925303,21,0,3.7126536,157,106,512,83270,43634,14587,0,0,21.09527,342.3934836,3806,4520,15858,28483,0,63757,106929,669,317.58556,50367,17,83.36,15.04,99.74,NA
2024-2025,Aug,12,HARYANA,1222,CHARKI DADRI,53450,403.3941735,18,11,55.8410924,94,66,499,46869,22424,7291,0,0,13.08379,257.9916976,2519,3106,9433,16878,0,30780,53482,593,189.0668152,28776,1,96.66,0.3,104.42,NA
2024-2025,Aug,12,HARYANA,1201,AMBALA,66470,371.3297841,15,1,2.6381695,192,243,466,31171,19420,9992,0,0,22.5277,140.9130765,2036,2307,10188,16505,0,37478,52399,658,115.747207,19184,34,50.42,34.33,99.9,NA
2024-2025,Aug,12,HARYANA,1205,KARNAL,555970,380.2088203,25,22,60.88337528,457,146,1244,431759,223570,52575,0,0,33.49902,1735.968196,17186,22958,45584,94106,0,91968,167464,1701,1641.585801,287344,19,86.76,7.12,128.57,NA
2024-2025,Aug,12,HARYANA,1215,HISAR,833465,422.8351909,20,80,2690.371819,1616,18,3384,925748,520356,85484,0,0,68.23607,6672.996212,44665,60920,70861,151546,3,121062,240110,5000,3914.388323,603017,6,50.88,15.32,100.53,NA
2024-2025,Aug,12,HARYANA,1218,FATEHABAD,620290,405.3437483,19,51,3075.390008,2197,6,4066,697462,413219,83545,0,0,68.78146,5971.290081,35604,53580,61708,134203,7,75720,156563,6263,2827.118614,431183,11,58.08,11.79,104.24,NA
2024-2025,Aug,12,HARYANA,1220,JHAJJAR,180650,379.1572785,22,0,3.7126536,157,104,513,84983,44461,14607,0,0,21.09527,347.0271536,3824,4546,15883,28530,0,63758,106932,670,322.21923,51498,17,83,15.42,99.75,NA
2024-2025,Aug,12,HARYANA,1202,YAMUNANAGAR,144140,426.8828662,27,0,92.165151,87,359,317,58496,15603,9434,0,0,20.45555,362.3301024,2121,2739,13437,24211,0,47647,76192,404,249.7094014,20950,26,56.67,16.9,100.28,NA
2024-2025,Aug,12,HARYANA,1212,MAHENDRAGARH,161500,462.0869377,21,0,310.5241749,523,164,911,64216,15214,8413,0,0,22.59282,629.8507428,2949,3566,16954,27372,0,65458,92043,1434,296.7337479,31740,11,41.74,24.14,109.9,NA
2024-2025,Aug,12,HARYANA,1213,BHIWANI,292200,400.9975513,18,16,255.4999739,569,63,1728,282101,148224,42152,0,0,27.98627,1414.704346,14878,19195,36839,78247,0,86447,168730,2297,1131.218102,179625,2,67.65,13.01,110.08,NA
2024-2025,Aug,12,HARYANA,1214,JIND,379650,371.332128,17,21,1221.188708,959,8,1856,324878,183008,49392,0,0,43.58476,2471.149858,19060,23441,40091,87188,0,68405,137603,2815,1206.376391,217283,12,55.59,31.84,99.91,NA
2024-2025,Aug,12,HARYANA,1216,SIRSA,536590,511.2175466,11,57,727.9068851,1571,52,2585,251895,150344,85082,0,0,33.30112,2048.939444,22612,30850,57803,134149,0,123888,265180,4156,1287.731439,154943,22,83.81,4.68,132.63,NA
2024-2025,July,12,HARYANA,1204,KAITHAL,302500,586.7020628,10,21,31.5401311,182,108,1824,59549,31180,36536,0,0,26.21377,407.1291125,5813,7481,36289,75589,0,67963,125977,2006,349.3752114,41136,46,78.97,10.16,100.73,NA
2024-2025,July,12,HARYANA,1207,SONIPAT,202463,526.6892288,17,0,180.0557308,86,181,467,45655,19521,12087,0,0,28.55001,449.0657082,2642,3154,14590,23752,0,44414,65035,553,240.4599674,28726,17,56.6,38.22,99.88,NA
2024-2025,July,12,HARYANA,1209,FARIDABAD,35600,328.253662,21,0,0,3,87,71,2799,427,834,0,0,7.24834,16.43616,131,174,2648,3090,0,7689,8380,74,9.18782,1138,2,45.53,26.12,153.78,NA
2024-2025,July,12,HARYANA,1214,JIND,305050,389.260545,12,13,1221.188708,863,12,1822,162414,92732,49054,0,0,43.58004,1896.982369,13211,15894,39700,86397,0,68090,137002,2685,632.2136216,112026,13,47.56,34.56,100,NA
2024-2025,July,12,HARYANA,1216,SIRSA,421250,1023.498422,7,18,727.8737651,487,92,3315,60346,37572,83723,0,0,33.30112,1378.815243,7640,10061,56758,131763,0,123006,263363,3802,617.6403578,36302,24,85.35,3.81,155.68,NA
2024-2025,July,12,HARYANA,1204,KAITHAL,302500,535.3499307,11,22,31.5401311,182,105,1870,82827,42289,36585,0,0,26.21377,501.1681882,7487,9583,36353,75698,0,67977,126010,2052,443.4142871,58221,45,84.46,7.44,100.61,NA
2024-2025,July,12,HARYANA,1214,JIND,305050,355.7186336,13,15,1221.188708,891,11,1796,206280,115969,49114,0,0,43.58476,1998.549865,15090,18302,39782,86567,0,68099,137034,2687,733.7763973,140650,13,50.82,34.7,99.67,NA
2024-2025,July,12,HARYANA,1221,PALWAL,38935,513.1870532,24,1,0,3,234,952,30162,1064,2067,0,0,3.71226,158.499739,1221,1506,10575,14695,0,39142,53502,955,154.787479,12293,30,35.88,3.65,144.79,NA
2024-2025,July,12,HARYANA,1222,CHARKI DADRI,49200,380.8196344,15,6,55.8410924,36,86,537,29374,14189,7175,0,0,13.08379,180.7868418,1909,2330,9252,16581,0,30693,53337,573,111.8619594,17437,1,94.67,0.48,99.85,NA
2024-2025,July,12,HARYANA,1202,YAMUNANAGAR,122765,440.0387673,24,0,92.165151,86,371,304,41730,11693,9342,0,0,20.45555,296.2488786,1701,2188,13303,23972,0,47521,75994,390,183.6281776,15429,25,64.13,12.16,100.85,NA
2024-2025,July,12,HARYANA,1203,KURUKSHETRA,275560,343.7219793,16,7,126.1741399,124,194,1257,84119,30309,19445,0,0,32.15929,447.4689217,5143,6635,23125,51323,0,63466,121534,1381,289.1354918,57671,17,56.3,16.42,101.08,NA
2024-2025,July,12,HARYANA,1205,KARNAL,480620,674.6466735,12,2,60.88337528,172,225,1355,27813,16796,51343,0,0,33.49902,282.0218746,2239,2639,44226,91458,0,91532,166497,1527,187.6394793,20487,21,23.77,29.01,104.61,NA
2024-2025,July,12,HARYANA,1206,PANIPAT,228675,309.0475246,16,2,355.236425,310,44,482,68798,35949,16494,0,0,29.52667,597.381611,4075,5109,18037,34160,0,42393,71689,792,212.618516,45048,15,51.26,16.24,99.98,NA
2024-2025,July,12,HARYANA,1207,SONIPAT,202463,536.1933896,17,0,180.0557308,88,184,461,44091,19172,12088,0,0,28.55001,445.0187682,2588,3085,14590,23753,0,44414,65036,549,236.4130274,27725,17,56,38.68,99.74,NA
2024-2025,July,12,HARYANA,1212,MAHENDRAGARH,120550,637.1526796,18,0,310.5241749,78,194,1255,25608,5169,8250,0,0,22.59282,496.2790531,1353,1609,16597,26775,0,65248,91708,1333,163.1620582,12718,11,39.72,19.17,103.06,NA
2024-2025,July,12,HARYANA,1220,JHAJJAR,146150,327.0440841,17,0,3.7126536,90,146,491,38971,18587,14409,0,0,21.09527,152.2602736,2240,2595,15659,28137,0,63585,106692,581,127.45235,23004,20,76.06,20.9,99.4,NA
2024-2025,July,12,HARYANA,1202,YAMUNANAGAR,122765,442.1712299,24,0,92.165151,86,371,304,43776,12361,9343,0,0,20.45555,306.1855786,1790,2305,13308,23979,0,47522,75996,390,193.5648776,16249,25,63.41,12.79,100.8,NA
2024-2025,July,12,HARYANA,1203,KURUKSHETRA,275560,316.2109397,17,7,126.1741399,135,193,1249,99873,36783,19468,0,0,32.15929,474.1427817,5700,7400,23177,51412,0,63502,121597,1384,315.8093518,67799,17,60.95,13.85,100.97,NA
2024-2025,July,12,HARYANA,1206,PANIPAT,228675,306.9033993,17,2,355.236425,326,44,467,72809,37642,16513,0,0,29.52667,608.216391,4280,5389,18043,34180,0,42401,71708,793,223.453296,47798,15,51.07,17.3,99.98,NA
2024-2025,July,12,HARYANA,1202,YAMUNANAGAR,122765,454.4967384,23,0,92.165151,86,371,303,40391,11339,9342,0,0,20.11714,295.8580686,1690,2174,13301,23968,0,47514,75978,389,183.5757776,14823,25,63.04,12.52,100.82,NA
2024-2025,Oct,12,HARYANA,1201,AMBALA,101170,367.4739928,17,1,35.56731019,278,197,422,47430,28901,10176,0,0,39.16842,249.028645,2728,3119,10406,16804,0,37506,52419,700,174.2929148,28381,33,53.2,28.46,99.98,NA
2024-2025,Oct,12,HARYANA,1205,KARNAL,636410,384.7578086,26,22,298.297378,892,111,998,472963,246734,52699,0,0,50.016,2168.075453,18069,24106,45744,94387,2,92008,167505,1890,1819.762075,316111,19,82.84,9.28,127.5,NA
2024-2025,Oct,12,HARYANA,1206,PANIPAT,358700,357.39412,33,6,424.854276,493,22,503,254822,125201,16637,0,0,41.10418,1376.677301,7711,10138,18247,34267,20,41567,69971,996,910.7188445,162746,13,60.28,11.42,101.02,NA
2024-2025,Oct,12,HARYANA,1207,SONIPAT,304288,412.9016044,28,6,227.6419057,251,106,494,191354,95085,12619,0,0,47.51893,1065.264572,6711,8667,15229,24816,9,44907,65790,745,790.1037361,116725,13,72.74,13.31,100.82,NA
2024-2025,Oct,12,HARYANA,1216,SIRSA,653200,477.1714149,14,64,969.7191106,1834,33,2565,400502,245954,86095,0,0,49.19477,2929.994941,28504,39326,58689,135950,0,124137,265661,4399,1911.08106,245999,21,70.34,4.17,143.46,NA
2024-2025,Oct,12,HARYANA,1221,PALWAL,69485,540.9195796,28,1,0,86,222,895,40675,2405,2077,0,0,3.71226,223.731299,1443,1764,10338,14206,1,38704,52737,981,220.019039,16487,29,40.92,3.43,163.42,NA
2024-2025,Dec,12,HARYANA,1211,REWARI,92450,403.1857063,22,0,151.4804343,204,209,335,51441,32548,9030,0,0,45.53666,404.4198535,2257,2722,7782,14447,1,40467,77622,539,207.4027592,38689,6,75.04,9.12,106.89,NA
2024-2025,Dec,12,HARYANA,1212,MAHENDRAGARH,291010,427.0963404,25,0,357.1832077,746,105,846,117506,27914,8651,0,0,61.26926,920.3162934,4575,5634,17496,28124,2,65748,92398,1592,501.8638257,57701,10,36.12,20.57,106.69,NA
2024-2025,Dec,12,HARYANA,1217,PANCHKULA,109500,380.68303,27,0,160.6079544,205,29,216,68344,18532,3021,0,0,36.7484,457.5303644,2468,2792,6476,11111,5,17302,25864,421,260.17401,22201,37,56.77,11.5,99.99,NA
2024-2025,Dec,12,HARYANA,1220,JHAJJAR,294850,373.8217628,33,1,99.03267489,326,66,439,175575,85649,14892,0,0,53.36145,808.7316849,5312,6356,16326,29043,6,64100,107269,765,656.33756,104044,15,77.46,21.43,99.96,NA
2024-2025,Dec,12,HARYANA,1222,CHARKI DADRI,98400,393.9073932,23,12,57.2858676,218,59,397,65192,31013,7322,0,0,23.87038,337.9523554,2720,3350,9472,16958,0,30843,53566,615,256.7961078,39830,1,97.61,0.22,103.48,NA
2024-2025,Dec,12,HARYANA,1201,AMBALA,141220,355.5306221,19,1,35.56731019,316,191,397,57608,35040,10236,0,0,45.40107,285.782461,3030,3473,10477,16931,0,37574,52519,713,204.8140808,35187,33,56.82,26.39,99.91,NA
2024-2025,Dec,12,HARYANA,1205,KARNAL,698110,383.4188104,26,22,298.4141152,969,109,1047,485708,254194,52731,0,0,79.53625,2240.246201,18243,24345,45769,94444,2,92158,167731,2016,1862.295836,325368,18,82.25,9.94,126.96,NA
2024-2025,Dec,12,HARYANA,1211,REWARI,92450,404.2003839,22,0,151.4804343,202,210,336,50852,32242,8975,0,0,45.53666,402.5610735,2227,2678,7750,14387,1,40467,77622,538,205.5439792,38380,6,74.77,9.21,106.89,NA
